id,name,url,router,cover,rating,developer,released,updated,technology,platform,classification,class,wiki,description,tags,embed
11,Smash Karts,https://www.crazygames.com/game/smash-karts,smash-karts,https://images.crazygames.com/games/smash-karts/cover_16x9-1731054691040.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Tall Team,May 2020,November 2024,HTML5,"Browser (desktop,mobile,tablet)",Games » .io,.io,,"Smash Karts is a 3D multiplayer IO kart battle game. Drive your go-kart, pick up weapons, and blow up other karts to win! Keep playing to level up and unlock new characters and prizes.",".io, 3D, Top-Down, Battle, Controller, With Friends, Party, Multiplayer",https://www.crazygames.com/embed/smash-karts
12,Autogun Heroes,https://www.crazygames.com/game/autogun-heroes-izk,autogun-heroes-izk,https://images.crazygames.com/autogun-heroes-izk_16x9/20241105014541/autogun-heroes-izk_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Nitro Games,October 2024,November 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Action » Arcade » Platform,Action,,"Autogun Heroes is an action platformer where you and your team of heroes take the fight to an alien-infested world. Unleash powerful, overloaded weapons, and stack up endless upgrades as you charge through waves of enemies. Gear up, strategize, and fight to reclaim your home from the alien onslaught!","Action, Alien, Platform, Hero, Gun, Survival",https://www.crazygames.com/embed/autogun-heroes-izk
13,Build Now Gg,https://www.crazygames.com/game/buildnow-gg,buildnow-gg,https://images.crazygames.com/buildnow-gg_16x9/20241105140553/buildnow-gg_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,battlelab,August 2021,November 2024,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Shooting » Third Person Shooter,Shooting,,"BuildNow GG is an online build-and-shoot game featuring various game modes, weapons, and maps. Build and battle your way to the top of the leaderboard and hone your skills in offline training mode.","Shooting, 3D, Third Person Shooter, Building, Controller, Multiplayer",https://www.crazygames.com/embed/buildnow-gg
14,Rally Racer Dirt,https://www.crazygames.com/game/rally-racer-dirt,rally-racer-dirt,https://images.crazygames.com/rally-racer-dirt_16x9/20240514035838/rally-racer-dirt_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Valvolex,November 2023,June 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Driving,Driving,,"Rally Racer Dirt is a rally drift-based game, allows you to drift on both asphalt and dirt terrains while navigating through hills. This category is redefined with the introduction of Rally Racer Dirt, offering the best realistic and stunning controls for a rally game. Enjoy the experience of drifty and realistic tuned physics, coupled with detailed graphics, various vehicles, and racing tracks. Be a rally racer, driving like Ken Blocks and Collin McRae on the tracks. The game features a Realtime Multiplayer Mode, 13 different rally cars, tunable cars with adjustable features, upgradable cars and drive properties, 5 different tuned tracks, and more. Choose between two main game modes: Challenge mode, with 60 different challenges to pass, and Survival mode, where you drift and drive as long as you can, passing checkpoints.","Driving, Mobile, Stunt, Car, Racing, With Friends, Drifting, Survival, Multiplayer, Speed",https://www.crazygames.com/embed/rally-racer-dirt
15,Man Runner 2048,https://www.crazygames.com/game/man-runner-2048,man-runner-2048,https://images.crazygames.com/man-runner-2048_16x9/20241008040416/man-runner-2048_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,GMR Bros.,August 2023,November 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(Android)",Games » Casual » Arcade,Casual,,Man Runner 2048 is a fun casual game where you run and merge men to reach 2048. Your goal is to get the highest score on each level so you can shoot the giant monsters with the most power.,"Casual, Cannon, Running, Obstacle, 2048, Mouse, Stickman, Arcade, Merge",https://www.crazygames.com/embed/man-runner-2048
16,8 Ball Billiards Classic,https://www.crazygames.com/game/8-ball-billiards-classic,8-ball-billiards-classic,https://images.crazygames.com/8-ball-billiards-classic_16x9/20231108025958/8-ball-billiards-classic_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,Famobi,May 2018,April 2024,HTML5,"Browser (desktop,mobile,tablet)",Games » Sports » Pool,Sports,,"8-Ball Billiards is a free online pool game in our sports category ideal for one or two players. You can play solo against AI or challenge other players in two-player mode. The game is easy for anyone to play, so pick up a cue and line up your first shot.","Sports, 2 Player, Pool",https://www.crazygames.com/embed/8-ball-billiards-classic
17,Basket Random,https://www.crazygames.com/game/basket-random,basket-random,https://images.crazygames.com/basket-random_16x9/20240617090207/basket-random_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,RHM Interactive,June 2020,July 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Sports » Basketball,Sports,,"Basket Random is a wildly fun 2-player arcade sports game with unpredictable physics - hence the name ""random""! Bounce around and battle for the ball across various crazy basketball courts. Prepare for some seriously chaotic hoops; every dunk catapults you to the next level!","Sports, 2 Player, Physics, Basketball, Ragdoll",https://www.crazygames.com/embed/basket-random
18,Shell Shockers,https://www.crazygames.com/game/shellshockersio,shellshockersio,https://images.crazygames.com/shellshockersio_16x9/20241108082953/shellshockersio_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Blue Wizard Digital,September 2017,November 2024,HTML5,Browser (desktop-only),Games » .io » Shooting » FPS,.io,,Shell Shockers (Shellshock.io) is a multiplayer .io  FPS game  featuring eggs armed with guns. You control one of these weapon-wielding eggs in one of four online game modes where the aim is to shatter your opponents with bullets and bombs. It's the ultimate online egg shooting game!,".io, 3D, Controller, With Friends, Gun, Party, Multiplayer, FPS",https://www.crazygames.com/embed/shellshockersio
19,Hazmob FPS Online Shooter,https://www.crazygames.com/game/hazmob-fps-online-shooter,hazmob-fps-online-shooter,https://images.crazygames.com/hazmob-fps-online-shooter_16x9/20240607181337/hazmob-fps-online-shooter_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,Hazmob,February 2024,October 2024,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Shooting » FPS,Shooting,,Hazmob FPS: Online Shooter is a multiplayer shooting FPS game where every second counts! Play against other players across multiple game modes in non-stop combat. This first-person shooter game is ideal for those seeking a bit of thrill.,"Shooting, Arena, With Friends, War, Gun, Party, Multiplayer, FPS",https://www.crazygames.com/embed/hazmob-fps-online-shooter
20,Slice Master,https://www.crazygames.com/game/slice-master,slice-master,https://images.crazygames.com/slice-master_16x9/20240731033229/slice-master_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.1,PlayCalm,April 2024,July 2024,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » One Button,Casual,,"Slice Master is a casual one-person game whose goal is to slice everything in sight, well, almost everything. This one-button game is driven by precision, timing, and discernment to rack up a high score. Flying knives are generally a no-no, but in this game, they are the only way to progress to new blades and skins.","Casual, One Button, Avoid, 3D, Physics, Obstacle",https://www.crazygames.com/embed/slice-master
21,Words of Wonders,https://www.crazygames.com/game/words-of-wonders,words-of-wonders,https://images.crazygames.com/words-of-wonders_16x9/20231019163757/words-of-wonders_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Famobi,May 2023,October 2023,HTML5,"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Puzzle » Word,Puzzle,,Words of Wonders is a crossword puzzle where you connect letters to reveal hidden words. Test your vocabulary and find all the words to progress and reach more challenging levels. Will you become a master wordsmith in this delightful word game?,"Puzzle, Word, Skill, Educational, Mouse, Brain",https://www.crazygames.com/embed/words-of-wonders
22,Zoo Happy Animals,https://www.crazygames.com/game/zoo---happy-animals,zoo---happy-animals,https://images.crazygames.com/zoo---happy-animals_16x9/20240408055424/zoo---happy-animals_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,SayGames,April 2024,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Casual » Cute » Animal,Casual,,"Zoo – Happy Animals is a zoo simulator game where you need to complete a series of everyday zoo-related tasks to progress to the next level. Be careful, though, because if you're timing is off, you may find yourself in trouble.","Casual, Mobile, 3D, Simulation, Lol, Animal, Mouse",https://www.crazygames.com/embed/zoo---happy-animals
23,Cubes 2048 io,https://www.crazygames.com/game/cubes-2048-io,cubes-2048-io,https://images.crazygames.com/games/cubes-2048-io/cover_16x9-1693298929425.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,7.9,,March 2023,,HTML5,"Browser (desktop,mobile,tablet)",Games » .io » Arcade » Snake,.io,,Cubes 2048.io is an addictive online game that fuses  Snake  and  2048 . Get a bigger number by collecting free cubes and eating other players with a smaller number than you. Your cubes with the same value that bump into one another will  merge .,".io, One Button, 3D, Top-Down, Arena, Snake, Survival, 2048, Mouse, Collect, Merge",https://www.crazygames.com/embed/cubes-2048-io
24,Mahjongg Solitaire,https://www.crazygames.com/game/mahjongg-solitaire,mahjongg-solitaire,https://images.crazygames.com/games/mahjongg-solitaire/cover_16x9-1707829450935.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,7.8,Arkadium,August 2022,August 2022,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Puzzle » Board » Mahjong,Puzzle,,"Mahjongg Solitaire is an online mahjong puzzle board game featuring traditional rules and modern visuals. There are no shuffles, and the game is timed, but the game's pace is relaxed.","Puzzle, Solitaire, Mobile, 3D, Board, Mahjong, Logic, Mouse",https://www.crazygames.com/embed/mahjongg-solitaire
25,Kour io,https://www.crazygames.com/game/kour-io,kour-io,https://images.crazygames.com/kour-io_16x9/20241107024955/kour-io_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Legion Platforms,August 2024,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » .io » Shooting » FPS,.io,,"Kour.io is a multiplayer IO FPS game that plunges you into intense battles across various maps with many guns and modes to play! It's one of the most accessible first-person shooters, available on both web browsers and mobile. This game offers numerous game modes, including free-for-all, team deathmatch, gun-game, and Hardpoint. Choose from various classes, each with unique weapons, to match your play style and aim to become the #1 Kour!",".io, Sniper, Mobile, 3D, Battle, Arena, Controller, With Friends, Gun, Party, Multiplayer, FPS",https://www.crazygames.com/embed/kour-io
26,Doodle Road,https://www.crazygames.com/game/doodle-road,doodle-road,https://images.crazygames.com/doodle-road_16x9/20240912101139/doodle-road_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,Ctrl4ltDel,September 2024,October 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Casual » Art » Drawing,Casual,,"Doodle Road is an imaginative and captivating 2D casual game that combines creativity with problem-solving. In this fun browser game, your primary objective is to draw a path that will successfully guide a car from the starting point to the finish line. With a multitude of levels to explore, each one introduces new challenges and exciting obstacles that test your creativity and strategic thinking. Draw your way to victory and see how far your creativity can take you!","Casual, Mobile, Car, Physics, Platform, Drawing, Obstacle, Logic, Arcade",https://www.crazygames.com/embed/doodle-road
27,Crazy Flips 3D,https://www.crazygames.com/game/crazy-flips-3d,crazy-flips-3d,https://images.crazygames.com/games/crazy-flips-3d/cover_16x9-1717520212223.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,,,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Sports » Jumping,Sports,,"Crazy Flips 3D is an awesome sports game to do perfect flips, such as frontflips, backflips, and gainer tricks from high cliffs.","Sports, One Button, 3D, Jumping, Physics, Skill, Mouse",https://www.crazygames.com/embed/crazy-flips-3d
28,Farm Merge Valley,https://www.crazygames.com/game/farm-merge-valley,farm-merge-valley,https://images.crazygames.com/farm-merge-valley_16x9/20240216022458/farm-merge-valley_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.6,,November 2024,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Business,Puzzle,Fandom,Farm Merge Valley is a puzzle business farming game where you merge various animals and objects to upgrade them. Grow crops and add animals to your farm while expanding to exciting new lands. Discover the peaceful farm life you always dreamed of while reaping the rewards from various challenges.,"Puzzle, Simulation, Farming, Business, Mouse, Management, Collect, Merge",https://www.crazygames.com/embed/farm-merge-valley
29,Thief Puzzle,https://www.crazygames.com/game/thief-puzzle,thief-puzzle,https://images.crazygames.com/thief-puzzle_16x9/20240919050737/thief-puzzle_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.6,Famobi,September 2024,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Logic,Puzzle,,"Thief Puzzle is a clever 2D puzzle logic game that puts your problem-solving and strategy to the test. You control a sneaky thief’s hand as it reaches for valuable treasures, but the path is filled with complex traps, laser security systems, and tricky obstacles. Do you have what it takes to outsmart each trap that comes your way?","Puzzle, Mobile, 2D, Logic, Brain, Stickman",https://www.crazygames.com/embed/thief-puzzle
30,MR RACER,https://www.crazygames.com/game/mr-racer---car-racing,mr-racer---car-racing,https://images.crazygames.com/mr-racer---car-racing_16x9/20231227161349/mr-racer---car-racing_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,ChennaiGames,December 2023,July 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(Android)",Games » Driving » Racing,Driving,,"Mr Racer—Car Racing is a thrilling racing game in our driving category in which you zoom through busy streets in various locations. Drive at high speeds in a variety of stunning supercars, dodging traffic. Tackle a range of driving challenges and become the ultimate MR RACER.","Driving, Simulation, Car, Traffic, Racing, Speed, Mission",https://www.crazygames.com/embed/mr-racer---car-racing
31,Miniblox,https://www.crazygames.com/game/miniblox,miniblox,https://images.crazygames.com/miniblox_16x9/20240617083401/miniblox_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,Miniblox,March 2024,June 2024,HTML5,"Browser (desktop,mobile,tablet)",Games » .io » Adventure » Minecraft,.io,,"Miniblox is an online game featuring voxelated graphics and a diverse selection of minigames. Explore endless possibilities as you delve into a vibrant world of creativity and competition. Join in, and let the voxel adventures begin!",".io, Pixel, Parkour, Minecraft, Avoid, Jumping, Battle, With Friends, Survival, Multiplayer, Block",https://www.crazygames.com/embed/miniblox
32,Sandbox City,https://www.crazygames.com/game/sandbox-city---cars-zombies-ragdolls,sandbox-city---cars-zombies-ragdolls,https://images.crazygames.com/sandbox-city---cars-zombies-ragdolls_16x9/20231204110852/sandbox-city---cars-zombies-ragdolls_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Yilmaz Kiymaz,December 2021,August 2024,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Action » Horror » Zombie,Action,,"Sandbox City - Cars, Zombies, Ragdolls! is a zombie game where you can explore freely and drive around the city, but, be careful of the zombie's infection! Find the zombies and kill them before the infection spreads around and the city.","Action, Sandbox, 3D, Simulation, Car, Traffic, Third Person Shooter, Controller, Zombie, Survival",https://www.crazygames.com/embed/sandbox-city---cars-zombies-ragdolls
33,Capybara Clicker,https://www.crazygames.com/game/capybara-clicker,capybara-clicker,https://images.crazygames.com/games/capybara-clicker/cover-1678290947532.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,,March 2023,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Clicker » Incremental,Clicker,,"Capybara Clicker is a  clicker game  where you multiply the capybara population by clicking. You can buy various upgrades to increase the output of capybaras, change the weather, and unlock new skins to make you the coolest capybara in town.","Clicker, 2D, Incremental, Animal, Mouse, Idle",https://www.crazygames.com/embed/capybara-clicker
34,Anger Foot 3D,https://www.crazygames.com/game/anger-foot-3d,anger-foot-3d,https://images.crazygames.com/anger-foot-3d_16x9/20241022022644/anger-foot-3d_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,ShakabuyGames,October 2024,October 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(Android)",Games » Action » Shooting » FPS,Action,,Anger Foot 3D is an action-packed game where your foot becomes your ultimate weapon. Foot fights through challenging rooms to defeat enemies and unlock powerful weapons. You can customize your foot fighter for even more fast-paced combat and immerse yourself in a vibrant world with a high-energy soundtrack. Kick your way to victory in this adrenaline-fueled adventure!,"Action, Mobile, 3D, Difficult, Cartoon, FPS",https://www.crazygames.com/embed/anger-foot-3d
35,Basketball Stars,https://www.crazygames.com/game/basketball-stars-2019,basketball-stars-2019,https://images.crazygames.com/games/basketball-stars-2019/cover-1583231506155.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.3,MadPuffers,May 2019,November 2023,HTML5,"Browser (desktop,mobile,tablet)",Games » Sports » Basketball,Sports,,"Basketball Stars is a 2-player basketball game created by Madpuffers. Shoot b-ball with the likes of LeBron James, James Harden, and Stephen Curry in Basketball Stars! You can play solo or with a friend as a variety of legendary basketball players.","Sports, 2 Player, Basketball",https://www.crazygames.com/embed/basketball-stars-2019
36,TapTap Shots,https://www.crazygames.com/game/tap-tap-shots,tap-tap-shots,https://images.crazygames.com/games/tap-tap-shots/cover-1655202548222.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Sports » Basketball,Sports,,"Tap-Tap Shots is an addictive sports game in which you continuously tap to make your basketball jump. It is an endless basketball practice where you aim to get your ball in the net in one shot, so the goal is to keep playing until you can't anymore, so you may want to cancel all plans for the evening. Perfectly time your taps to score before the clock runs out, and keep going as long as you can!","Sports, One Button, Physics, Basketball, Minigames, Mouse",https://www.crazygames.com/embed/tap-tap-shots
37,Ships 3D,https://www.crazygames.com/game/ships-3d,ships-3d,https://images.crazygames.com/games/ships-3d/cover-1656950535291.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,ASDF Games,May 2022,,HTML5,"Browser (desktop,mobile,tablet)",Games » .io » Battleship,.io,,Ships 3D is an online naval warfare game featuring frantic frigate battles and chaotic smash-ups at sea. Join your friends in thrilling multiplayer ship wars featuring up to 20 players.,".io, Cannon, 3D, Battle, Simulation, Battleship, Physics, With Friends, Multiplayer, Sword",https://www.crazygames.com/embed/ships-3d
38,Stickman Destruction 3,https://www.crazygames.com/game/stickman-destruction-3-heroes,stickman-destruction-3-heroes,https://images.crazygames.com/stickman-destruction-3-heroes/20210311140018/stickman-destruction-3-heroes-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,Sergey Mezhakov,March 2021,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Action » Arcade » Stickman,Action,,"Stickman Destruction 3 Heroes is a ragdoll physics action game. Crash the stickman into obstacles, send him tumbling down staircases and through walls into oblivious bystanders. Cause as much destruction as possible to earn the most gold!","Action, Superhero, Physics, Crash, Mouse, Stickman, Ragdoll, Speed",https://www.crazygames.com/embed/stickman-destruction-3-heroes
